Region,Altitude,Mois,Saison,SOC,Clay,Nitrogen,CEC,Temp,Hum,pH,Lux,CE,Crop
Itasy,1714.0,6,1,28.4,33.2,25.5,14.3,21.3,78.4,5.6,37817.0,902.0,Pomme_de_Terre
Vakinankaratra,1445.0,12,0,36.1,33.3,28.2,15.2,25.3,68.5,6.4,59549.0,1165.0,Riz_Plateau
Sofia,294.0,6,1,24.8,23.3,16.4,10.2,18.8,64.8,6.3,31099.0,935.0,Oignon
Alaotra-Mangoro,1185.0,12,0,16.6,25.9,13.3,14.3,21.2,63.9,6.2,52840.0,1155.0,Riz_Plateau
Amoron'i Mania,1126.0,7,1,31.1,27.9,19.6,13.9,10.5,65.9,6.3,35047.0,908.0,Pomme
Diana,130.0,1,0,30.8,26.1,20.5,24.4,22.5,70.6,7.1,50266.0,819.0,Orange
Anosy,198.0,2,0,19.2,22.4,16.0,15.2,31.9,78.3,6.4,47380.0,1164.0,Riz_Plateau
Atsinanana,398.0,11,0,60.7,39.8,32.2,16.4,29.4,74.0,4.6,51637.0,637.0,Ananas
Diana,84.0,2,0,30.8,26.1,20.5,24.4,29.7,58.2,6.1,57161.0,567.0,Orange
Bongolava,974.0,12,0,24.5,32.2,18.9,13.2,24.9,50.4,6.5,46371.0,941.0,Maïs
Analamanga,1409.0,5,1,23.4,27.6,19.5,16.3,17.1,46.3,6.8,42859.0,424.0,Haricot_CS
Ihorombe,1101.0,1,0,15.9,28.1,12.1,17.6,11.9,76.7,6.6,31122.0,309.0,Haricot
Alaotra-Mangoro,1175.0,7,1,16.6,25.9,13.3,14.3,29.4,90.4,5.6,61851.0,769.0,Riz_Decrue
Analanjirofo,250.0,12,0,54.8,35.0,29.5,18.5,32.6,80.3,5.6,63321.0,684.0,Banane
Alaotra-Mangoro,701.0,12,0,16.6,25.9,13.3,14.3,31.8,45.3,6.2,52567.0,708.0,Arachide
Haute Matsiatra,1508.0,12,0,24.1,24.9,18.2,12.7,26.4,99.0,5.6,63302.0,872.0,Riz_Bas_Fonds
Vakinankaratra,1903.0,5,1,36.1,33.3,28.2,15.2,20.7,73.7,6.5,47929.0,652.0,Fraise
Anosy,75.0,6,1,19.2,22.4,16.0,15.2,29.1,34.1,5.6,41127.0,1361.0,Sorgho_CS
Melaky,277.0,1,0,26.0,23.7,21.3,15.3,20.0,57.9,6.9,52975.0,871.0,Arachide
Anosy,421.0,1,0,19.2,22.4,16.0,15.2,24.5,95.1,5.5,52244.0,851.0,Riz_Bas_Fonds
Alaotra-Mangoro,1000.0,12,0,16.6,25.9,13.3,14.3,20.4,46.6,5.8,64027.0,1602.0,Sorgho
Alaotra-Mangoro,757.0,8,1,16.6,25.9,13.3,14.3,29.1,87.4,5.3,57946.0,1212.0,Riz_Decrue
Bongolava,1355.0,8,1,24.5,32.2,18.9,13.2,24.4,66.2,6.0,41473.0,796.0,Tomate
Atsimo-Andrefana,31.0,5,1,25.3,27.9,10.9,14.1,25.6,54.5,6.4,50738.0,739.0,Oignon
Anosy,139.0,6,1,19.2,22.4,16.0,15.2,29.5,25.8,7.4,54967.0,1111.0,Sorgho_CS
Diana,32.0,11,0,30.8,26.1,20.5,24.4,31.7,46.3,6.2,71580.0,666.0,Mangue
Menabe,32.0,12,0,23.9,28.2,16.9,14.4,37.5,59.8,6.6,61360.0,1182.0,Mangue
Analanjirofo,71.0,12,0,54.8,35.0,29.5,18.5,20.8,81.8,6.5,55449.0,630.0,Litchi
Boeny,194.0,10,1,28.2,24.7,21.7,15.4,25.8,57.9,6.8,69120.0,1009.0,Mangue
Ihorombe,636.0,12,0,15.9,28.1,12.1,17.6,25.5,93.5,5.1,54765.0,875.0,Riz_Bas_Fonds
Betsiboka,149.0,12,0,27.9,23.7,28.2,10.9,28.1,86.4,5.9,52986.0,861.0,Riz_Bas_Fonds
Anosy,522.0,7,1,19.2,22.4,16.0,15.2,31.5,38.9,6.0,60881.0,697.0,Sorgho_CS
Menabe,118.0,10,1,23.9,28.2,16.9,14.4,34.4,40.5,6.3,57728.0,885.0,Mangue
Vakinankaratra,1243.0,6,1,36.1,33.3,28.2,15.2,20.3,63.4,6.6,52654.0,634.0,Pomme
Melaky,210.0,6,1,26.0,23.7,21.3,15.3,23.9,92.7,5.6,48503.0,1302.0,Riz_Decrue
Amoron'i Mania,1354.0,6,1,31.1,27.9,19.6,13.9,15.2,79.2,5.7,36463.0,949.0,Pomme_de_Terre
Atsinanana,15.0,11,0,60.7,39.8,32.2,16.4,24.7,91.5,5.1,39643.0,739.0,Riz_Bas_Fonds
Menabe,286.0,12,0,23.9,28.2,16.9,14.4,37.3,51.2,7.0,68102.0,669.0,Mangue
Analamanga,1484.0,8,1,23.4,27.6,19.5,16.3,19.3,62.6,6.0,42777.0,1895.0,Tomate
Sofia,6.0,5,1,24.8,23.3,16.4,10.2,23.6,87.5,5.7,62555.0,1437.0,Riz_Decrue
Diana,375.0,2,0,30.8,26.1,20.5,24.4,29.2,51.0,6.2,63761.0,1627.0,Maïs
Menabe,238.0,11,0,23.9,28.2,16.9,14.4,28.1,43.2,5.8,59775.0,497.0,Mangue
Atsinanana,61.0,12,0,60.7,39.8,32.2,16.4,20.0,88.1,5.1,52719.0,864.0,Litchi
Anosy,145.0,6,1,19.2,22.4,16.0,15.2,31.7,49.6,6.5,46993.0,679.0,Sorgho_CS
Vakinankaratra,1314.0,12,0,36.1,33.3,28.2,15.2,26.9,54.2,6.7,62177.0,1299.0,Sorgho
Atsimo-Andrefana,435.0,6,1,25.3,27.9,10.9,14.1,26.6,30.5,6.5,41298.0,914.0,Sorgho_CS
Amoron'i Mania,1174.0,6,1,31.1,27.9,19.6,13.9,18.4,67.2,5.9,36642.0,403.0,Pomme
Amoron'i Mania,1087.0,7,1,31.1,27.9,19.6,13.9,14.8,77.2,5.7,32018.0,1051.0,Pomme_de_Terre
Sofia,326.0,5,1,24.8,23.3,16.4,10.2,22.6,63.9,6.7,43239.0,1060.0,Oignon
Atsinanana,46.0,11,0,60.7,39.8,32.2,16.4,30.3,74.6,6.0,53254.0,362.0,Litchi
Alaotra-Mangoro,1086.0,11,0,16.6,25.9,13.3,14.3,20.4,57.2,6.5,35626.0,459.0,Arachide
Itasy,1226.0,5,1,28.4,33.2,25.5,14.3,24.3,73.4,6.2,30349.0,451.0,Fraise
Atsimo-Andrefana,129.0,6,1,25.3,27.9,10.9,14.1,30.6,49.8,6.0,63001.0,1832.0,Sorgho_CS
Itasy,1750.0,5,1,28.4,33.2,25.5,14.3,20.7,81.1,6.4,29385.0,1013.0,Pomme_de_Terre
Amoron'i Mania,1754.0,7,1,31.1,27.9,19.6,13.9,21.2,76.3,5.7,33372.0,935.0,Pomme
Sofia,293.0,6,1,24.8,23.3,16.4,10.2,27.5,63.0,6.0,30070.0,824.0,Oignon
Analamanga,1377.0,8,1,23.4,27.6,19.5,16.3,23.7,77.9,5.8,36951.0,586.0,Tomate
Amoron'i Mania,1697.0,6,1,31.1,27.9,19.6,13.9,14.3,66.1,6.2,22105.0,1427.0,Pomme_de_Terre
Bongolava,1161.0,7,1,24.5,32.2,18.9,13.2,25.0,63.4,5.8,59430.0,573.0,Tomate
Analanjirofo,108.0,1,0,54.8,35.0,29.5,18.5,34.7,70.1,6.1,43745.0,571.0,Riz_Plateau
Anosy,211.0,7,1,19.2,22.4,16.0,15.2,31.0,42.2,5.6,47337.0,1666.0,Sorgho_CS
Sofia,255.0,12,0,24.8,23.3,16.4,10.2,21.2,98.9,6.0,52765.0,325.0,Riz_Bas_Fonds
Analanjirofo,355.0,12,0,54.8,35.0,29.5,18.5,34.8,80.5,6.2,40718.0,976.0,Banane
Vakinankaratra,1755.0,5,1,36.1,33.3,28.2,15.2,21.5,81.4,5.8,27188.0,609.0,Fraise
Atsinanana,305.0,11,0,60.7,39.8,32.2,16.4,25.6,63.8,5.2,47087.0,766.0,Ananas
Vakinankaratra,1738.0,5,1,36.1,33.3,28.2,15.2,20.4,81.2,5.7,51844.0,597.0,Fraise
Bongolava,837.0,1,0,24.5,32.2,18.9,13.2,24.7,74.4,6.8,53503.0,613.0,Maïs
Itasy,1622.0,7,1,28.4,33.2,25.5,14.3,18.5,78.5,6.3,32814.0,1548.0,Pomme_de_Terre
Bongolava,897.0,1,0,24.5,32.2,18.9,13.2,19.3,54.4,5.6,57963.0,1248.0,Arachide
Atsimo-Andrefana,162.0,7,1,25.3,27.9,10.9,14.1,22.2,56.9,6.4,53592.0,1005.0,Pois_du_Cap
Androy,92.0,7,1,14.8,24.7,10.9,22.8,25.5,37.0,6.9,64559.0,828.0,Sorgho_CS
Atsinanana,220.0,12,0,60.7,39.8,32.2,16.4,28.8,82.5,6.3,65858.0,768.0,Litchi
Atsinanana,31.0,12,0,60.7,39.8,32.2,16.4,26.2,74.5,5.9,66493.0,408.0,Litchi
Boeny,173.0,6,1,28.2,24.7,21.7,15.4,23.3,94.1,5.3,39818.0,1028.0,Riz_Decrue
Betsiboka,119.0,11,0,27.9,23.7,28.2,10.9,25.8,77.3,5.9,63060.0,965.0,Riz_Plateau
Sofia,579.0,5,1,24.8,23.3,16.4,10.2,22.9,83.2,5.3,51647.0,1435.0,Riz_Decrue
Analanjirofo,354.0,11,0,54.8,35.0,29.5,18.5,33.6,76.3,6.2,52018.0,1023.0,Banane
Bongolava,1295.0,5,1,24.5,32.2,18.9,13.2,19.4,65.1,6.6,33843.0,565.0,Haricot_CS
Amoron'i Mania,1202.0,1,0,31.1,27.9,19.6,13.9,20.8,54.3,7.0,53347.0,1109.0,Maïs
Vakinankaratra,1433.0,6,1,36.1,33.3,28.2,15.2,15.8,64.3,6.3,45174.0,648.0,Pomme
SAVA,210.0,11,0,64.8,36.6,48.0,20.9,23.3,84.7,5.1,62948.0,886.0,Litchi
Anosy,238.0,12,0,19.2,22.4,16.0,15.2,33.4,46.0,5.6,55648.0,1546.0,Sorgho
Diana,476.0,6,1,30.8,26.1,20.5,24.4,22.7,63.6,6.1,52623.0,1006.0,Oignon
Haute Matsiatra,1064.0,7,1,24.1,24.9,18.2,12.7,19.9,63.3,6.8,52313.0,550.0,Tomate
SAVA,447.0,12,0,64.8,36.6,48.0,20.9,20.8,73.7,5.6,48809.0,348.0,Litchi
Menabe,287.0,6,1,23.9,28.2,16.9,14.4,28.5,36.6,6.5,43537.0,780.0,Pois_du_Cap
Ihorombe,1149.0,1,0,15.9,28.1,12.1,17.6,15.5,73.8,6.3,37423.0,525.0,Haricot
Melaky,92.0,7,1,26.0,23.7,21.3,15.3,22.6,88.7,5.3,43602.0,858.0,Riz_Decrue
Analamanga,1333.0,4,0,23.4,27.6,19.5,16.3,19.5,53.7,6.4,28521.0,854.0,Haricot_CS
Amoron'i Mania,1541.0,7,1,31.1,27.9,19.6,13.9,18.5,66.2,6.0,32340.0,409.0,Pomme
Menabe,169.0,1,0,23.9,28.2,16.9,14.4,25.4,60.7,6.1,54121.0,1152.0,Riz_Plateau
SAVA,4.0,10,1,64.8,36.6,48.0,20.9,31.9,82.8,5.5,48331.0,848.0,Ananas
Boeny,142.0,5,1,28.2,24.7,21.7,15.4,26.2,92.5,6.4,46851.0,1317.0,Riz_Decrue
Analanjirofo,199.0,11,0,54.8,35.0,29.5,18.5,32.9,76.8,6.7,62634.0,533.0,Banane
Atsimo-Andrefana,215.0,5,1,25.3,27.9,10.9,14.1,19.0,68.9,7.0,56992.0,1078.0,Oignon
Melaky,280.0,12,0,26.0,23.7,21.3,15.3,30.1,96.1,5.7,57794.0,1095.0,Riz_Bas_Fonds
Sofia,244.0,1,0,24.8,23.3,16.4,10.2,33.0,76.8,6.3,54336.0,500.0,Riz_Plateau
Atsimo-Andrefana,314.0,6,1,25.3,27.9,10.9,14.1,33.2,26.0,6.8,53476.0,1524.0,Sorgho_CS
Anosy,469.0,6,1,19.2,22.4,16.0,15.2,32.8,31.4,5.8,50218.0,1871.0,Sorgho_CS
Menabe,283.0,6,1,23.9,28.2,16.9,14.4,26.7,57.8,6.3,44134.0,1137.0,Pois_du_Cap
Analamanga,1166.0,7,1,23.4,27.6,19.5,16.3,18.7,79.1,5.7,41319.0,1608.0,Pomme_de_Terre
Atsimo-Andrefana,332.0,7,1,25.3,27.9,10.9,14.1,31.7,46.1,7.0,56780.0,575.0,Sorgho_CS
Sofia,268.0,5,1,24.8,23.3,16.4,10.2,26.9,85.9,6.0,64572.0,1520.0,Riz_Decrue
Atsinanana,186.0,6,1,60.7,39.8,32.2,16.4,23.8,69.9,6.4,42095.0,1645.0,Tomate
Atsinanana,16.0,1,0,60.7,39.8,32.2,16.4,31.6,80.0,7.0,47706.0,677.0,Banane
Itasy,1240.0,2,0,28.4,33.2,25.5,14.3,20.9,62.1,6.4,40348.0,1225.0,Orange
Analanjirofo,184.0,1,0,54.8,35.0,29.5,18.5,23.1,81.8,6.3,57914.0,1297.0,Banane
Atsimo-Andrefana,422.0,6,1,25.3,27.9,10.9,14.1,29.8,40.5,5.7,62400.0,748.0,Sorgho_CS
Vakinankaratra,1387.0,7,1,36.1,33.3,28.2,15.2,19.3,70.0,5.8,29003.0,975.0,Pomme_de_Terre
Analanjirofo,385.0,1,0,54.8,35.0,29.5,18.5,31.9,88.1,6.8,50767.0,1281.0,Banane
Menabe,44.0,11,0,23.9,28.2,16.9,14.4,25.7,87.3,5.4,37467.0,1028.0,Riz_Bas_Fonds
Anosy,546.0,8,1,19.2,22.4,16.0,15.2,23.0,67.5,6.3,40697.0,459.0,Oignon
Amoron'i Mania,1632.0,6,1,31.1,27.9,19.6,13.9,20.1,68.9,6.1,40052.0,805.0,Pomme
Diana,314.0,1,0,30.8,26.1,20.5,24.4,15.8,72.5,6.2,41104.0,675.0,Haricot
Bongolava,1108.0,7,1,24.5,32.2,18.9,13.2,18.2,73.9,6.0,42751.0,1605.0,Tomate
Diana,40.0,1,0,30.8,26.1,20.5,24.4,26.2,65.9,6.6,35711.0,645.0,Maïs
Sofia,286.0,12,0,24.8,23.3,16.4,10.2,29.1,88.5,5.9,44647.0,438.0,Riz_Bas_Fonds
Bongolava,1135.0,8,1,24.5,32.2,18.9,13.2,22.5,64.1,6.8,45629.0,858.0,Tomate
Haute Matsiatra,1508.0,2,0,24.1,24.9,18.2,12.7,20.1,67.2,7.0,63852.0,786.0,Orange
Menabe,398.0,6,1,23.9,28.2,16.9,14.4,25.0,81.2,5.7,56747.0,771.0,Riz_Decrue
Vakinankaratra,1635.0,5,1,36.1,33.3,28.2,15.2,24.3,81.4,6.3,29260.0,880.0,Fraise
Bongolava,1317.0,5,1,24.5,32.2,18.9,13.2,22.2,49.3,7.2,52696.0,1038.0,Haricot_CS
Vatovavy-Fitovinany,275.0,12,0,54.5,26.3,29.7,21.3,26.1,71.0,6.5,41102.0,863.0,Haricot
Itasy,1459.0,5,1,28.4,33.2,25.5,14.3,15.2,78.5,6.4,51612.0,412.0,Fraise
Boeny,225.0,1,0,28.2,24.7,21.7,15.4,21.8,60.3,6.3,44295.0,1317.0,Maïs
Diana,24.0,11,0,30.8,26.1,20.5,24.4,28.8,63.6,6.3,62129.0,707.0,Mangue
Boeny,25.0,12,0,28.2,24.7,21.7,15.4,28.9,53.3,6.5,58640.0,1191.0,Sorgho
Atsinanana,385.0,11,0,60.7,39.8,32.2,16.4,25.1,71.5,5.4,48547.0,390.0,Litchi
Atsimo-Andrefana,477.0,7,1,25.3,27.9,10.9,14.1,23.0,58.2,6.4,55047.0,682.0,Oignon
Bongolava,955.0,11,0,24.5,32.2,18.9,13.2,25.0,64.5,7.0,41456.0,450.0,Haricot
Vakinankaratra,1584.0,6,1,36.1,33.3,28.2,15.2,21.3,63.3,5.9,51034.0,412.0,Pomme
Menabe,371.0,5,1,23.9,28.2,16.9,14.4,25.0,48.3,6.5,46010.0,1257.0,Pois_du_Cap
Sofia,273.0,12,0,24.8,23.3,16.4,10.2,17.3,71.6,6.8,38727.0,809.0,Haricot
Vakinankaratra,1472.0,5,1,36.1,33.3,28.2,15.2,19.2,75.9,6.7,36563.0,1543.0,Tomate
Itasy,1074.0,4,0,28.4,33.2,25.5,14.3,18.9,79.7,6.2,26073.0,763.0,Fraise
Analamanga,1177.0,4,0,23.4,27.6,19.5,16.3,20.8,84.1,5.8,42749.0,715.0,Fraise
Analamanga,1257.0,5,1,23.4,27.6,19.5,16.3,20.1,62.1,6.9,31344.0,309.0,Haricot_CS
Atsinanana,58.0,5,1,60.7,39.8,32.2,16.4,22.3,79.2,6.5,50049.0,1521.0,Tomate
Menabe,91.0,10,1,23.9,28.2,16.9,14.4,30.9,58.8,7.3,78670.0,438.0,Mangue
Analamanga,1195.0,5,1,23.4,27.6,19.5,16.3,17.2,84.0,6.2,42739.0,817.0,Fraise
Analanjirofo,193.0,11,0,54.8,35.0,29.5,18.5,30.9,74.8,6.1,67974.0,318.0,Litchi
Itasy,1670.0,5,1,28.4,33.2,25.5,14.3,25.0,61.4,6.3,54880.0,324.0,Haricot_CS
SAVA,221.0,11,0,64.8,36.6,48.0,20.9,27.8,82.0,4.8,59856.0,451.0,Ananas
Itasy,1473.0,5,1,28.4,33.2,25.5,14.3,22.6,66.4,6.0,30419.0,313.0,Haricot_CS
Diana,143.0,11,0,30.8,26.1,20.5,24.4,24.2,53.9,6.2,75300.0,987.0,Mangue
Vakinankaratra,1416.0,6,1,36.1,33.3,28.2,15.2,16.5,71.4,6.2,45424.0,579.0,Pomme
Menabe,165.0,11,0,23.9,28.2,16.9,14.4,26.3,53.1,6.4,37903.0,725.0,Maïs
Menabe,387.0,11,0,23.9,28.2,16.9,14.4,27.7,40.7,7.1,63795.0,415.0,Mangue
Menabe,228.0,6,1,23.9,28.2,16.9,14.4,28.6,57.4,6.7,54381.0,1454.0,Pois_du_Cap
Betsiboka,248.0,5,1,27.9,23.7,28.2,10.9,31.5,87.9,5.7,49817.0,517.0,Riz_Decrue
Itasy,1422.0,6,1,28.4,33.2,25.5,14.3,15.3,47.4,6.4,40015.0,953.0,Haricot_CS
Amoron'i Mania,1641.0,12,0,31.1,27.9,19.6,13.9,22.5,95.6,5.3,64222.0,1164.0,Riz_Bas_Fonds
Vakinankaratra,1702.0,5,1,36.1,33.3,28.2,15.2,21.6,46.9,7.3,50306.0,737.0,Haricot_CS
Analamanga,1256.0,12,0,23.4,27.6,19.5,16.3,10.7,79.4,6.7,41022.0,430.0,Haricot
Alaotra-Mangoro,813.0,1,0,16.6,25.9,13.3,14.3,24.8,40.4,6.5,58688.0,1581.0,Sorgho
Atsimo-Andrefana,432.0,12,0,25.3,27.9,10.9,14.1,28.9,39.2,6.7,57711.0,714.0,Sorgho
Analanjirofo,320.0,1,0,54.8,35.0,29.5,18.5,31.7,75.5,6.3,37385.0,1029.0,Banane
Vakinankaratra,1734.0,7,1,36.1,33.3,28.2,15.2,21.1,80.8,6.3,31454.0,753.0,Pomme_de_Terre
SAVA,86.0,11,0,64.8,36.6,48.0,20.9,27.1,88.2,5.8,49403.0,786.0,Litchi
Bongolava,1253.0,6,1,24.5,32.2,18.9,13.2,18.7,60.0,6.0,46493.0,763.0,Haricot_CS
Vakinankaratra,1330.0,4,0,36.1,33.3,28.2,15.2,22.8,76.7,5.9,41454.0,529.0,Fraise
Itasy,1255.0,12,0,28.4,33.2,25.5,14.3,28.3,50.5,6.8,38927.0,1329.0,Maïs
Betsiboka,179.0,2,0,27.9,23.7,28.2,10.9,10.0,71.1,6.5,30901.0,425.0,Haricot
Atsinanana,146.0,12,0,60.7,39.8,32.2,16.4,16.3,59.6,5.8,53399.0,1096.0,Arachide
Anosy,85.0,1,0,19.2,22.4,16.0,15.2,18.7,71.7,6.8,32927.0,446.0,Haricot
Menabe,369.0,11,0,23.9,28.2,16.9,14.4,29.7,61.4,6.9,60218.0,929.0,Maïs
Analanjirofo,20.0,12,0,54.8,35.0,29.5,18.5,22.5,82.7,5.4,58945.0,342.0,Litchi
Betsiboka,39.0,12,0,27.9,23.7,28.2,10.9,23.8,60.2,6.4,61000.0,1025.0,Riz_Plateau
Analamanga,1381.0,4,0,23.4,27.6,19.5,16.3,20.9,68.2,7.4,40036.0,900.0,Haricot_CS
Sofia,244.0,5,1,24.8,23.3,16.4,10.2,32.4,85.0,6.0,50547.0,867.0,Riz_Decrue
Vakinankaratra,1861.0,6,1,36.1,33.3,28.2,15.2,15.6,72.9,5.8,50923.0,438.0,Fraise
Boeny,183.0,12,0,28.2,24.7,21.7,15.4,23.8,65.8,6.2,61117.0,415.0,Riz_Plateau
Vakinankaratra,1419.0,7,1,36.1,33.3,28.2,15.2,27.2,63.5,6.5,30029.0,487.0,Oignon
Anosy,583.0,12,0,19.2,22.4,16.0,15.2,33.2,37.1,6.8,61685.0,1203.0,Sorgho
Diana,93.0,5,1,30.8,26.1,20.5,24.4,21.6,55.5,6.9,38706.0,654.0,Oignon
Sofia,169.0,4,0,24.8,23.3,16.4,10.2,25.2,65.2,6.4,45435.0,819.0,Oignon
Menabe,32.0,11,0,23.9,28.2,16.9,14.4,21.3,87.8,5.5,35300.0,771.0,Riz_Bas_Fonds
Vakinankaratra,1314.0,7,1,36.1,33.3,28.2,15.2,23.5,64.3,6.3,47356.0,1015.0,Oignon
Itasy,1452.0,5,1,28.4,33.2,25.5,14.3,19.8,79.6,6.8,47280.0,1969.0,Tomate
SAVA,203.0,12,0,64.8,36.6,48.0,20.9,26.0,73.4,6.4,66631.0,674.0,Litchi
Androy,382.0,5,1,14.8,24.7,10.9,22.8,34.3,44.2,5.8,57048.0,1249.0,Sorgho_CS
Boeny,56.0,12,0,28.2,24.7,21.7,15.4,31.4,63.1,5.7,69735.0,606.0,Mangue
Atsimo-Andrefana,342.0,6,1,25.3,27.9,10.9,14.1,31.9,31.9,6.5,56405.0,1563.0,Sorgho_CS
Anosy,588.0,1,0,19.2,22.4,16.0,15.2,31.9,46.5,6.1,55262.0,1639.0,Sorgho
Bongolava,890.0,12,0,24.5,32.2,18.9,13.2,22.4,92.9,5.9,40825.0,1064.0,Banane
Haute Matsiatra,1596.0,8,1,24.1,24.9,18.2,12.7,14.1,68.7,6.2,23937.0,1239.0,Pomme_de_Terre
Analamanga,1175.0,1,0,23.4,27.6,19.5,16.3,23.8,61.1,6.8,57510.0,532.0,Maïs
Atsinanana,92.0,12,0,60.7,39.8,32.2,16.4,25.0,76.8,6.2,40456.0,749.0,Banane
Analamanga,1597.0,5,1,23.4,27.6,19.5,16.3,26.7,63.4,6.3,63059.0,1386.0,Tomate
Androy,224.0,5,1,14.8,24.7,10.9,22.8,25.0,33.6,6.6,59104.0,1886.0,Sorgho_CS
Analanjirofo,346.0,12,0,54.8,35.0,29.5,18.5,23.9,78.1,6.7,62644.0,686.0,Banane
Anosy,546.0,6,1,19.2,22.4,16.0,15.2,26.5,64.7,6.5,46215.0,1028.0,Oignon
Itasy,1012.0,1,0,28.4,33.2,25.5,14.3,24.5,64.4,6.8,47297.0,1064.0,Orange
Analanjirofo,295.0,1,0,54.8,35.0,29.5,18.5,25.5,78.2,5.8,35628.0,863.0,Banane
Boeny,234.0,12,0,28.2,24.7,21.7,15.4,32.1,60.6,5.8,49884.0,682.0,Riz_Plateau
Diana,375.0,6,1,30.8,26.1,20.5,24.4,23.3,63.7,6.1,56714.0,1137.0,Oignon
Amoron'i Mania,1024.0,7,1,31.1,27.9,19.6,13.9,18.8,74.0,6.5,56972.0,529.0,Pomme
Itasy,1215.0,4,0,28.4,33.2,25.5,14.3,15.6,79.6,5.5,41123.0,719.0,Fraise
Boeny,19.0,12,0,28.2,24.7,21.7,15.4,24.7,58.0,7.0,51514.0,410.0,Mangue
Boeny,96.0,11,0,28.2,24.7,21.7,15.4,26.8,40.8,7.0,74204.0,989.0,Mangue
Boeny,264.0,10,1,28.2,24.7,21.7,15.4,24.5,61.2,6.2,65133.0,1039.0,Mangue
Analamanga,1277.0,11,0,23.4,27.6,19.5,16.3,28.0,69.8,7.0,40830.0,1692.0,Maïs
Androy,262.0,5,1,14.8,24.7,10.9,22.8,22.9,43.5,6.0,56734.0,1445.0,Sorgho_CS
Haute Matsiatra,1477.0,1,0,24.1,24.9,18.2,12.7,29.8,60.6,7.0,47966.0,798.0,Orange
Haute Matsiatra,1325.0,5,1,24.1,24.9,18.2,12.7,22.6,60.2,6.1,35277.0,1545.0,Tomate
Analanjirofo,358.0,1,0,54.8,35.0,29.5,18.5,24.4,91.8,6.1,46127.0,950.0,Banane
Androy,234.0,6,1,14.8,24.7,10.9,22.8,33.0,43.7,7.5,59638.0,568.0,Sorgho_CS
Menabe,215.0,6,1,23.9,28.2,16.9,14.4,22.7,82.5,5.4,52240.0,1359.0,Riz_Decrue
Itasy,1647.0,6,1,28.4,33.2,25.5,14.3,15.8,84.7,6.4,49033.0,550.0,Fraise
Androy,388.0,7,1,14.8,24.7,10.9,22.8,24.9,41.8,5.9,47686.0,648.0,Sorgho_CS
Atsinanana,394.0,10,1,60.7,39.8,32.2,16.4,26.1,77.5,5.1,49331.0,1023.0,Ananas
Androy,321.0,5,1,14.8,24.7,10.9,22.8,32.4,42.6,5.7,53172.0,972.0,Sorgho_CS
Atsimo-Andrefana,158.0,11,0,25.3,27.9,10.9,14.1,27.3,34.8,6.0,48366.0,704.0,Sorgho
Vakinankaratra,1288.0,6,1,36.1,33.3,28.2,15.2,16.4,73.4,5.6,30645.0,667.0,Fraise
SAVA,302.0,9,1,64.8,36.6,48.0,20.9,20.7,81.6,5.4,51914.0,773.0,Ananas
Bongolava,938.0,12,0,24.5,32.2,18.9,13.2,33.6,91.7,6.6,50530.0,787.0,Banane
Sofia,110.0,12,0,24.8,23.3,16.4,10.2,23.1,67.9,5.9,53240.0,787.0,Riz_Plateau
Atsimo-Andrefana,234.0,1,0,25.3,27.9,10.9,14.1,28.4,53.4,6.5,64419.0,1609.0,Maïs
Anosy,309.0,6,1,19.2,22.4,16.0,15.2,25.9,33.9,6.1,63837.0,1663.0,Sorgho_CS
Itasy,1497.0,6,1,28.4,33.2,25.5,14.3,23.1,70.7,5.6,52616.0,621.0,Fraise
Bongolava,1388.0,8,1,24.5,32.2,18.9,13.2,26.0,68.7,6.0,33476.0,915.0,Tomate
Atsimo-Andrefana,150.0,12,0,25.3,27.9,10.9,14.1,21.1,60.8,6.3,47377.0,881.0,Arachide
Atsimo-Andrefana,270.0,5,1,25.3,27.9,10.9,14.1,26.7,67.8,6.1,33445.0,698.0,Oignon
Vakinankaratra,1913.0,6,1,36.1,33.3,28.2,15.2,19.7,78.7,6.0,53261.0,1777.0,Tomate
SAVA,160.0,12,0,64.8,36.6,48.0,20.9,20.4,80.6,5.2,68457.0,760.0,Litchi
Atsimo-Andrefana,407.0,7,1,25.3,27.9,10.9,14.1,19.0,50.8,6.1,35484.0,1085.0,Oignon
Bongolava,833.0,12,0,24.5,32.2,18.9,13.2,32.3,77.1,5.7,58612.0,524.0,Banane
Atsimo-Atsinanana,388.0,2,0,49.2,29.9,29.9,18.8,26.8,60.8,6.7,35297.0,510.0,Haricot
Haute Matsiatra,1143.0,5,1,24.1,24.9,18.2,12.7,19.6,72.8,5.6,47969.0,1026.0,Tomate
Boeny,163.0,10,1,28.2,24.7,21.7,15.4,31.7,46.7,6.4,52039.0,958.0,Mangue
Vakinankaratra,1754.0,7,1,36.1,33.3,28.2,15.2,15.3,70.3,6.8,41572.0,514.0,Pomme
Vakinankaratra,1510.0,4,0,36.1,33.3,28.2,15.2,16.1,81.2,6.3,37585.0,703.0,Fraise
Itasy,1496.0,2,0,28.4,33.2,25.5,14.3,25.7,77.6,6.4,54923.0,792.0,Orange
Analamanga,1536.0,12,0,23.4,27.6,19.5,16.3,22.2,89.2,5.9,56957.0,932.0,Riz_Bas_Fonds
Vakinankaratra,1549.0,8,1,36.1,33.3,28.2,15.2,22.5,56.5,6.1,34645.0,708.0,Oignon
